,model,rank,lambda,epoch,optimizer,NDCG,R-Precision
197,IFVAE,50,0.0001,179,RMSProp,0.1683,0.0972
198,IFVAE,50,0.0001,189,RMSProp,0.1684,0.0976
199,IFVAE,50,0.0001,199,RMSProp,0.1689,0.0973
200,IFVAE,50,0.0001,209,RMSProp,0.1692,0.0977
201,IFVAE,50,0.0001,219,RMSProp,0.1691,0.0975
202,IFVAE,50,0.0001,229,RMSProp,0.1691,0.0971
203,IFVAE,50,0.0001,239,RMSProp,0.1696,0.098
204,IFVAE,50,0.0001,249,RMSProp,0.1703,0.0975
205,IFVAE,50,0.0001,259,RMSProp,0.17,0.0983
206,IFVAE,50,0.0001,269,RMSProp,0.1703,0.0978
207,IFVAE,50,0.0001,279,RMSProp,0.1707,0.0987
208,IFVAE,50,0.0001,289,RMSProp,0.1709,0.098
209,IFVAE,50,0.0001,299,RMSProp,0.1707,0.0987
210,IFVAE,50,0.0001,9,Adam,0.1368,0.0834
211,IFVAE,50,0.0001,19,Adam,0.1444,0.0874
212,IFVAE,50,0.0001,29,Adam,0.1491,0.0903
213,IFVAE,50,0.0001,39,Adam,0.1528,0.0912
214,IFVAE,50,0.0001,49,Adam,0.1548,0.0914
215,IFVAE,50,0.0001,59,Adam,0.1589,0.0931
216,IFVAE,50,0.0001,69,Adam,0.1601,0.0935
217,IFVAE,50,0.0001,79,Adam,0.1624,0.0939
218,IFVAE,50,0.0001,89,Adam,0.1642,0.0946
219,IFVAE,50,0.0001,99,Adam,0.1653,0.0953
220,IFVAE,50,0.0001,109,Adam,0.1662,0.0958
221,IFVAE,50,0.0001,119,Adam,0.1669,0.0959
222,IFVAE,50,0.0001,129,Adam,0.1679,0.0956
223,IFVAE,50,0.0001,139,Adam,0.1686,0.0966
224,IFVAE,50,0.0001,149,Adam,0.1684,0.096
225,IFVAE,50,0.0001,159,Adam,0.1694,0.0971
226,IFVAE,50,0.0001,169,Adam,0.1698,0.0973
227,IFVAE,50,0.0001,179,Adam,0.17,0.0976
228,IFVAE,50,0.0001,189,Adam,0.1706,0.0975
229,IFVAE,50,0.0001,199,Adam,0.1707,0.098
230,IFVAE,50,0.0001,209,Adam,0.1711,0.0982
231,IFVAE,50,0.0001,219,Adam,0.171,0.099
232,IFVAE,50,0.0001,229,Adam,0.1716,0.0984
233,IFVAE,50,0.0001,239,Adam,0.1715,0.0981
234,IFVAE,50,0.0001,249,Adam,0.1717,0.0983
235,IFVAE,50,0.0001,259,Adam,0.1718,0.0997
236,IFVAE,50,0.0001,269,Adam,0.1716,0.099
237,IFVAE,50,0.0001,279,Adam,0.1715,0.0988
238,IFVAE,50,0.0001,289,Adam,0.1722,0.0999
239,IFVAE,50,0.0001,299,Adam,0.1717,0.099
240,IFVAE,50,0.0001,9,SGD,0.1224,0.0734
241,IFVAE,50,0.0001,19,SGD,0.1224,0.0736
242,IFVAE,50,0.0001,29,SGD,0.1224,0.0736
243,IFVAE,50,0.0001,39,SGD,0.1224,0.0736
244,IFVAE,50,0.0001,49,SGD,0.1223,0.0736
245,IFVAE,50,0.0001,59,SGD,0.1224,0.0736
246,IFVAE,50,0.0001,69,SGD,0.1225,0.0736
247,IFVAE,50,0.0001,79,SGD,0.1224,0.0736
248,IFVAE,50,0.0001,89,SGD,0.1225,0.0736
249,IFVAE,50,0.0001,99,SGD,0.1226,0.0737
250,IFVAE,50,0.0001,109,SGD,0.1228,0.0738
251,IFVAE,50,0.0001,119,SGD,0.1228,0.0738
252,IFVAE,50,0.0001,129,SGD,0.1229,0.0738
253,IFVAE,50,0.0001,139,SGD,0.123,0.0739
254,IFVAE,50,0.0001,149,SGD,0.123,0.0739
255,IFVAE,50,0.0001,159,SGD,0.123,0.0739
256,IFVAE,50,0.0001,169,SGD,0.1231,0.074
257,IFVAE,50,0.0001,179,SGD,0.1231,0.0739
258,IFVAE,50,0.0001,189,SGD,0.1232,0.074
259,IFVAE,50,0.0001,199,SGD,0.1234,0.074
260,IFVAE,50,0.0001,209,SGD,0.1235,0.074
261,IFVAE,50,0.0001,219,SGD,0.1235,0.0739
262,IFVAE,50,0.0001,229,SGD,0.1236,0.0739
263,IFVAE,50,0.0001,239,SGD,0.1236,0.0738
264,IFVAE,50,0.0001,249,SGD,0.1236,0.0739
265,IFVAE,50,0.0001,259,SGD,0.1237,0.074
266,IFVAE,50,0.0001,269,SGD,0.1238,0.0741
267,IFVAE,50,0.0001,279,SGD,0.1238,0.074
268,IFVAE,50,0.0001,289,SGD,0.1238,0.0742
269,IFVAE,50,0.0001,299,SGD,0.1238,0.0742
