Clicks	MAP@1	NDCG	Num_Ones_In_Prediction	Num_Ones_In_Test	Num_Ones_In_Train	Num_Zeros_In_Prediction	Precision@1	R-Precision	Recall@1	active_learning_iteration	active_learning_model	rec_model	rank	alpha	lambda	iter	corruption	root	sampling	total_num_active_learning_iteration
(2.553825770122557, 0.08915872322974476)	(0.48923484597548855, 0.01783174464594895)	(0.03408218526139149, 0.001706010817175197)	1477	284388	10584	1542	(0.48923484597548855, 0.01783174464594895)	(0.009853327561199946, 0.0006247155970424814)	(0.009853327561199946, 0.0006247155970424814)	80	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.56210665783372, 0.08915187223386482)	(0.48757866843325604, 0.017830374446772965)	(0.03396821330731368, 0.0017033464589186998)	1472	284388	10584	1547	(0.48757866843325604, 0.017830374446772965)	(0.009815738568344846, 0.0006232914630468072)	(0.009815738568344846, 0.0006232914630468072)	81	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.553825770122557, 0.08915872322974476)	(0.48923484597548855, 0.01783174464594895)	(0.03414674096181951, 0.001709480086010793)	1477	284388	10584	1542	(0.48923484597548855, 0.01783174464594895)	(0.009882564252459198, 0.0006263822516466618)	(0.009882564252459198, 0.0006263822516466618)	82	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.558794302749255, 0.08915473014186047)	(0.4882411394501491, 0.017830946028372093)	(0.03387843261707997, 0.0016990150223609108)	1474	284388	10584	1545	(0.4882411394501491, 0.017830946028372093)	(0.009776525685857618, 0.0006215283321664195)	(0.009776525685857618, 0.0006215283321664195)	83	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.558794302749255, 0.08915473014186047)	(0.4882411394501491, 0.01783094602837209)	(0.03396742470025952, 0.0017033288980010124)	1474	284388	10584	1545	(0.4882411394501491, 0.01783094602837209)	(0.009815164391118623, 0.0006233493359301565)	(0.009815164391118623, 0.0006233493359301565)	84	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.553825770122557, 0.08915872322974476)	(0.48923484597548855, 0.01783174464594895)	(0.03410970821099772, 0.0017081409071939822)	1477	284388	10584	1542	(0.48923484597548855, 0.01783174464594895)	(0.009868238616355985, 0.0006258263282063754)	(0.009868238616355985, 0.0006258263282063754)	85	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.557138125207022, 0.0891561003392305)	(0.48857237495859557, 0.017831220067846102)	(0.03401040304764033, 0.001705371944809165)	1475	284388	10584	1544	(0.48857237495859557, 0.017831220067846102)	(0.009833343067798822, 0.0006244857136837567)	(0.009833343067798822, 0.0006244857136837567)	86	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.558794302749255, 0.08915473014186047)	(0.4882411394501491, 0.01783094602837209)	(0.034004793782491265, 0.0017047878089939007)	1474	284388	10584	1545	(0.4882411394501491, 0.01783094602837209)	(0.009829777732218945, 0.0006242623865829048)	(0.009829777732218945, 0.0006242623865829048)	87	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.553825770122557, 0.08915872322974476)	(0.48923484597548855, 0.01783174464594895)	(0.03415644081502871, 0.001710066141190044)	1477	284388	10584	1542	(0.48923484597548855, 0.01783174464594895)	(0.009886967524217947, 0.0006270063363767443)	(0.009886967524217947, 0.0006270063363767443)	88	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.558794302749255, 0.08915473014186047)	(0.4882411394501491, 0.01783094602837209)	(0.033987989812428974, 0.0017043782654661624)	1474	284388	10585	1545	(0.4882411394501491, 0.01783094602837209)	(0.009824036546720248, 0.0006241092209014693)	(0.009824036546720248, 0.0006241092209014693)	89	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5604504802914874, 0.08915332077402448)	(0.4879099039417025, 0.017830664154804898)	(0.03401230548805817, 0.0017060463750340658)	1473	284388	10585	1546	(0.4879099039417025, 0.017830664154804898)	(0.009836746895498972, 0.0006246588521223239)	(0.009836746895498972, 0.0006246588521223239)	90	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.550513415038092, 0.08916118945939419)	(0.4898973169923816, 0.017832237891878835)	(0.034128284071766574, 0.0017056048429520605)	1479	284388	10585	1540	(0.4898973169923816, 0.017832237891878835)	(0.009863077984214024, 0.0006244355141800355)	(0.009863077984214024, 0.0006244355141800355)	91	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.537263994700232, 0.08916948801693093)	(0.49254720105995364, 0.01783389760338619)	(0.03431026855486342, 0.0017076396871558185)	1487	284388	10585	1532	(0.49254720105995364, 0.01783389760338619)	(0.009915104964907752, 0.0006252843119563607)	(0.009915104964907752, 0.0006252843119563607)	92	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5455448824113946, 0.089164595092957)	(0.4908910235177211, 0.0178329190185914)	(0.034157329084769754, 0.0017050769926597314)	1482	284388	10585	1537	(0.4908910235177211, 0.0178329190185914)	(0.009867694741045135, 0.0006243733407536892)	(0.009867694741045135, 0.0006243733407536892)	93	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5521695925803245, 0.08915997592634571)	(0.4895660814839351, 0.01783199518526914)	(0.03404642344874886, 0.0017019440484262263)	1478	284388	10585	1541	(0.4895660814839351, 0.01783199518526914)	(0.00982909988151158, 0.0006225190967409964)	(0.00982909988151158, 0.0006225190967409964)	94	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5455448824113946, 0.089164595092957)	(0.4908910235177211, 0.017832919018591402)	(0.034110342745994664, 0.001701188443446483)	1482	284388	10585	1537	(0.4908910235177211, 0.017832919018591402)	(0.009841652630651863, 0.0006220815879640214)	(0.009841652630651863, 0.0006220815879640214)	95	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.543888704869162, 0.08916565198726954)	(0.4912222590261676, 0.01783313039745391)	(0.034169093329418226, 0.0017059397793070074)	1483	284388	10585	1536	(0.4912222590261676, 0.01783313039745391)	(0.009873812844255595, 0.0006247301829451522)	(0.009873812844255595, 0.0006247301829451522)	96	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5422325273269295, 0.08916666972550827)	(0.4915534945346141, 0.017833333945101656)	(0.03418939078171332, 0.0017039594440935025)	1484	284388	10585	1535	(0.4915534945346141, 0.017833333945101656)	(0.009871440982364225, 0.0006235167339684295)	(0.009871440982364225, 0.0006235167339684295)	97	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5554819476647896, 0.08915743136794053)	(0.48890361046704206, 0.017831486273588104)	(0.03401389300462076, 0.0017025548363493064)	1476	284388	10585	1543	(0.48890361046704206, 0.017831486273588104)	(0.009823431361477602, 0.0006230342631849837)	(0.009823431361477602, 0.0006230342631849837)	98	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5554819476647896, 0.08915743136794053)	(0.48890361046704206, 0.017831486273588104)	(0.03402303250234743, 0.0017038957650523233)	1476	284388	10585	1543	(0.48890361046704206, 0.017831486273588104)	(0.009830794966499447, 0.0006236510585878935)	(0.009830794966499447, 0.0006236510585878935)	99	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.5521695925803245, 0.08915997592634571)	(0.4895660814839351, 0.01783199518526914)	(0.034079212961007896, 0.0017051407692009943)	1478	284388	10585	1541	(0.4895660814839351, 0.01783199518526914)	(0.009849112750058392, 0.0006243765406873128)	(0.009849112750058392, 0.0006243765406873128)	100	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(3.5604285236022766, 0.08075924815765108)	(0.2879142952795447, 0.016151849631530216)	(0.01632616266996021, 0.0011940628435616841)	869	284388	0	2150	(0.2879142952795447, 0.016151849631530216)	(0.004318872694080277, 0.00039745112135586595)	(0.004318872694080277, 0.00039745112135586595)	1	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(3.3327742368332776, 0.0840861888657578)	(0.3334451526333445, 0.016817237773151562)	(0.01974089603381648, 0.001296052633467732)	1009	284388	869	2010	(0.3334451526333445, 0.016817237773151562)	(0.005276521650369133, 0.00043609321120995624)	(0.005276521650369133, 0.00043609321120995624)	2	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(3.20962888665998, 0.085511289563991)	(0.35807422266800404, 0.017102257912798197)	(0.02129753174316866, 0.0013459595976142117)	1082	284388	1851	1937	(0.35807422266800404, 0.017102257912798197)	(0.005737835390851964, 0.0004608975731360631)	(0.005737835390851964, 0.0004608975731360631)	3	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(3.1636060100166943, 0.08598023785016076)	(0.3672787979966611, 0.017196047570032152)	(0.021937078560826783, 0.0013693119014599072)	1109	284388	2877	1910	(0.3672787979966611, 0.017196047570032152)	(0.005940248947495025, 0.00047285185753515)	(0.005940248947495025, 0.00047285185753515)	4	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(3.190745672436751, 0.08570781417378681)	(0.3618508655126498, 0.017141562834757363)	(0.021541560423725438, 0.001352782793210954)	1092	284388	3861	1927	(0.3618508655126498, 0.017141562834757363)	(0.005810927172359462, 0.00045959738166505835)	(0.005810927172359462, 0.00045959738166505835)	5	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(3.1212624584717608, 0.08638189280474189)	(0.37574750830564785, 0.017276378560948377)	(0.023402368801525346, 0.0014246082259085616)	1136	284388	4746	1883	(0.37574750830564785, 0.017276378560948377)	(0.0064268177600553715, 0.0004958343427681417)	(0.0064268177600553715, 0.0004958343427681417)	6	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.9654255319148937, 0.08762031722491792)	(0.40691489361702127, 0.017524063444983584)	(0.025582210004091936, 0.0014684718605359455)	1226	284388	5564	1793	(0.40691489361702127, 0.017524063444983584)	(0.007037801870165717, 0.0005136002401574126)	(0.007037801870165717, 0.0005136002401574126)	7	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.9797140006651146, 0.08752220140054956)	(0.4040571998669771, 0.017504440280109914)	(0.025057179160961136, 0.0014609122187966969)	1220	284388	6409	1799	(0.4040571998669771, 0.017504440280109914)	(0.006895697783112473, 0.0005126032169000692)	(0.006895697783112473, 0.0005126032169000692)	8	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.926748425588333, 0.08787052343909288)	(0.41465031488233345, 0.01757410468781858)	(0.02637679154557324, 0.001500458323085058)	1251	284388	7140	1768	(0.41465031488233345, 0.01757410468781858)	(0.007319947079055287, 0.0005275820963603437)	(0.007319947079055287, 0.0005275820963603437)	9	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.857142857142857, 0.08826471072099996)	(0.42857142857142855, 0.017652942144199994)	(0.026789427507190815, 0.0014881415952793318)	1293	284388	7764	1726	(0.42857142857142855, 0.017652942144199994)	(0.0073641717496697925, 0.0005256411909608594)	(0.0073641717496697925, 0.0005256411909608594)	10	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.772063702720637, 0.08864974740618287)	(0.4455872594558726, 0.017729949481236573)	(0.02839226710075098, 0.0015246492122821848)	1344	284388	8315	1675	(0.4455872594558726, 0.017729949481236573)	(0.007852452733472376, 0.000535377875642312)	(0.007852452733472376, 0.000535377875642312)	11	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.7536472148541113, 0.08871920587960257)	(0.44927055702917773, 0.017743841175920514)	(0.029216291141869036, 0.0015577406122670948)	1356	284388	8801	1663	(0.44927055702917773, 0.017743841175920514)	(0.008157541417680084, 0.0005504080355305283)	(0.008157541417680084, 0.0005504080355305283)	12	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
(2.6972811671087533, 0.08890129378393626)	(0.46054376657824936, 0.017780258756787248)	(0.029651130365795336, 0.0015468637383358164)	1389	284388	9215	1630	(0.46054376657824936, 0.017780258756787248)	(0.008219630358443844, 0.0005413678437176752)	(0.008219630358443844, 0.0005413678437176752)	13	ThompsonSampling	VAE-CF	50	1.0	0.0001	300	0.5	1	False	100
